Generacion: 1 totalA:234
N		 inicial		Aptitud		seleccion		cruza		mutacion		
32		10000			6.42			00000			00010			00010		
Generacion: 10 totalA:61859304
N		 inicial		Aptitud		seleccion		cruza		mutacion		
1		00000			2.50			00101			00001			10001		
2		01000			1.00			00001			00101			00101		
3		00000			2.50			01000			01001			01001		
4		00000			2.50			00001			00000			00000		
5		00010			1.03			01000			01000			01000		
6		01000			1.00			00000			00000			00000		
7		11010			7.60			00000			00010			00010		
8		00000			2.50			00010			00000			00000		
9		00000			2.50			00010			00000			00000		
10		00000			2.50			11000			11010			11010		
11		00001			1.41			00000			00000			00000		
12		01000			1.00			10000			10000			10000		
13		00010			1.03			00000			00000			00000		
14		00000			2.50			00000			00000			00000		
15		00000			2.50			00000			00010			00010		
16		00000			2.50			00010			00000			00000		
17		00001			1.41			01010			01000			01000		
18		01000			1.00			00000			00010			00010		
19		00000			2.50			01000			01000			01000		
20		00000			2.50			01000			01000			01000		
21		00000			2.50			00000			00000			10000		
22		01000			1.00			00000			00000			00000		
23		00000			2.50			10000			10000			10000		
24		00000			2.50			00000			00000			00000		
25		00010			1.03			01000			01000			01100		
26		00101			0.00			00000			00000			00000		
27		00000			2.50			00000			00000			00000		
28		00001			1.41			00000			00000			00000		
29		10000			6.42			00000			00000			00000		
30		11000			17.36			00000			00000			00000		
31		00000			2.50			00010			00000			00000		
32		10000			6.42			00000			00010			00010		
